A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
2859;714;623.576;-7.559.897;11166-M2996025;23/08/2021;Casa;Miravalle;Arriendo;$ 1.800.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida90 m²'; 'Área privada90 m²'; 'Valor arriendo$1.800.000';;; '3Habitaciones'; '2Baños';" '5Estrato']"""
2860;714;624.914;-7.561.319;4673-M3070052;22/09/2021;Casa;Santa Monica;Arriendo;$ 2.100.000; 'AntigüedadMás de 20 años'; 'Área construida130 m²'; 'Área privada130 m²'; 'Valor arriendo$2.100.000';;; '4Habitaciones'; '3Baños'; '4Estrato'
2861;715;6.248.149;-7.560.537;2264-AC-26001;19/06/2021;Casa;LA AMÉRICA;Arriendo;$ 2.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida170 m²'; 'Área privada170 m²'; 'Valor arriendo$2.000.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '4Estrato']"""
2862;715;62.630.253;-75.592.606;687-M2771317;24/07/2021;Casa;EL ESTADIO;Arriendo;$ 9.600.000; 'AntigüedadMás de 20 años'; 'Área construida500 m²'; 'Área privada500 m²'; 'Valor arriendo$9.600.000';; 'Parqueaderos2'; '5Habitaciones'; '2Baños';" '5Estrato']"""
2863;715;624.245;-755.643;4673-M3006660;23/08/2021;Casa;Centro;Arriendo;$ 800.000; 'AntigüedadMás de 20 años'; 'Área construida75 m²'; 'Área privada75 m²'; 'Valor arriendo$800.000';;; '3Habitaciones'; '2Baños';" '3Estrato']"""
2864;715;62.482.514;-7.560.517;10164-M3041728;22/09/2021;Casa;Calasanz;Arriendo;$ 4.500.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida215 m²'; 'Área privada212 m²'; 'Valor arriendo$4.500.000';; 'Parqueaderos2'; '4Habitaciones'; '3Baños'; '5Estrato'
2865;716;6.258.026;-7.559.927;2264-42160;23/08/2021;Casa;LA FLORESTA;Arriendo;$ 4.800.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida579 m²'; 'Área privada579 m²'; 'Valor arriendo$4.800.000';; 'Parqueaderos2'; '5Habitaciones'; '5Baños';" '4Estrato']"""
2866;716;624.764;3;11166-M2889916;24/07/2021;Casa;Estadio;Arriendo;$ 2.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$2.500.000';; 'Parqueaderos1'; '3Habitaciones'; '3Baños';" '5Estrato']"""
2867;716;62.611.127;-75.560.005;497-12689;19/06/2021;Casa;PRADO;Arriendo;$ 7.200.000; 'AntigüedadMás de 20 años'; 'Área construida386 m²'; 'Área privada386 m²'; 'Valor arriendo$7.200.000';;; '5Habitaciones'; '4Baños';" '4Estrato']"""
2868;716;625.217;-755.923;4673-M3023316;22/09/2021;Casa;Florida Nueva;Arriendo;$ 3.300.000; 'AntigüedadMás de 20 años'; 'Área construida142 m²'; 'Área privada142 m²'; 'Valor arriendo$3.300.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños'; '5Estrato'
2869;717;6.244.998;-7.557.971;12536-3683672;19/06/2021;Casa;Conquistadores;Arriendo;$ 4.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida220 m²'; 'Área privada220 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones';;" '5Estrato']"""
2870;717;6.215.208;-7.556.294;2264-42441;24/07/2021;Casa;LAS LOMAS;Arriendo;$ 10.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida600 m²'; 'Área privada848 m²'; 'Valor arriendo$10.000.000';;; '1Habitaciones'; '4Baños';" '6Estrato']"""
2871;717;624.639;-7.559.785;11166-M2964236;23/08/2021;Casa;Laureles;Arriendo;$ 2.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida150 m²'; 'Área privada150 m²'; 'Valor arriendo$2.000.000';;; '4Habitaciones'; '2Baños';" '5Estrato']"""
2872;717;6.214.221;-7.557.051;737-6930;22/09/2021;Casa;Manila;Arriendo;$ 5.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida224 m²'; 'Área privada224 m²'; 'Valor arriendo$5.000.000';;; '3Habitaciones'; '3Baños'; '6Estrato'
2873;718;62.413.273;;11212-34;23/08/2021;Casa;Conquistadores;Arriendo;$ 2.900.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida150 m²'; 'Área privada150 m²'; 'Valor arriendo$2.900.000';; 'Parqueaderos1'; '5Habitaciones'; '3Baños';" '5Estrato']"""
2874;718;61.946.826;-7.555.538;4673-32233;19/06/2021;Casa;Poblado;Arriendo;$ 9.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida352 m²'; 'Área privada486 m²'; 'Valor arriendo$9.000.000';; 'Parqueaderos2'; '4Habitaciones'; '5Baños';" '6Estrato']"""
